title,views,likes,dislikes,trending_date,category_id,tags,channel_title,true_sentiment,description
Video A,100000,5000,200,23.15.06,10,tag1|tag2,Channel A,neutral,Last session of the day  http://twitpic.com/67ezh
Video B,80000,4000,150,23.16.06,24,tag2|tag3,Channel B,positive, Shanghai is also really exciting (precisely -- skyscrapers galore). Good tweeps in China:  (SH)  (BJ).
Video C,120000,6000,250,23.17.06,25,tag1|tag4,Channel A,negative,"Recession hit Veronique Branquinho, she has to quit her company, such a shame!"
Video D,90000,4500,180,23.18.06,10,tag3|tag5,Channel C,positive, happy bday!
Video E,110000,5500,220,23.19.06,29,tag2|tag4,Channel B,positive, http://twitpic.com/4w75p - I like it!!
Video A,109000,5450,221,23.15.07,26.8,tag1|tag3,Channel A,positive, that`s great!! weee!! visitors!
Video B,112000,5600,228,23.16.07,29.2,tag2|tag4,Channel B,negative,I THINK EVERYONE HATES ME ON HERE   lol
Video C,115000,5750,235,23.17.07,31.6,tag1|tag5,Channel A,negative," soooooo wish i could, but im in school and myspace is completely blocked"
Video D,118000,5900,242,23.18.07,34,tag3|tag6,Channel C,neutral, and within a short time of the last clue all of them
Video E,121000,6050,249,23.19.07,36.4,tag2|tag5,Channel B,neutral, What did you get?  My day is alright.. haven`t done anything yet. leaving soon to my stepsister though!
Video A,124000,6200,256,23.15.08,38.8,tag1|tag4,Channel A,negative,My bike was put on hold...should have known that.... argh total bummer
Video B,127000,6350,263,23.16.08,41.2,tag2|tag5,Channel B,neutral, I checked.  We didn`t win
Video C,130000,6500,270,23.17.08,43.6,tag1|tag6,Channel A,neutral, .. and you`re on twitter! Did the tavern bore you that much?
Video D,133000,6650,277,23.18.08,46,tag3|tag7,Channel C,negative,"I`m in VA for the weekend, my youngest son turns 2 tomorrow......it makes me kinda sad, he is getting so big, check out my twipics"
Video E,136000,6800,284,23.19.08,48.4,tag2|tag6,Channel B,negative,Its coming out the socket  I feel like my phones hole is not a virgin. That`s how loose it is... :`(
Video A,139000,6950,291,23.15.09,50.8,tag1|tag5,Channel A,negative,"So hot today =_=  don`t like it and i hate my new timetable, having such a bad week"
Video B,142000,7100,298,23.16.09,53.2,tag2|tag6,Channel B,negative, Miss you
Video C,145000,7250,305,23.17.09,55.6,tag1|tag7,Channel A,negative,Cramps . . .
Video D,148000,7400,312,23.18.09,58,tag3|tag8,Channel C,positive, you guys didn`t say hi or answer my questions yesterday  but nice songs.
Video E,151000,7550,319,23.19.09,60.4,tag2|tag7,Channel B,neutral,"I`m going into a spiritual stagnentation, its exploding my ego!. I now realise, i`m not all that great. and I`m ok with that."
Video A,154000,7700,326,23.15.10,62.8,tag1|tag6,Channel A,negative,Stupid storm. No river for us tonight
Video B,157000,7850,333,23.16.10,65.2,tag2|tag7,Channel B,negative,My dead grandpa pays more attention to me than you do
Video C,160000,8000,340,23.17.10,67.6,tag1|tag8,Channel A,negative,"... need retail therapy, bad. AHHH.....gimme money geebus"
Video D,163000,8150,347,23.18.10,70,tag3|tag9,Channel C,neutral,about to go to sleep
Video E,166000,8300,354,23.19.10,72.4,tag2|tag8,Channel B,negative, you are lame  go make me breakfast!!
Video A,169000,8450,361,23.15.11,74.8,tag1|tag7,Channel A,positive, thats so cool
Video B,172000,8600,368,23.16.11,77.2,tag2|tag8,Channel B,neutral,"hey peoples, dont you just hate being grounded haha, im just sat eating an apple and watching death note (some anime)"
Video C,175000,8750,375,23.17.11,79.6,tag1|tag9,Channel A,neutral,"Huh, another ScarePoint coding Sunday"
